name,GST,Commonname
FLC,FLC,FLC
FLC-c,FLC-c,FLC-c
FLC-n,FLC-n,FLC-n
SVP,SVP,SVP
SVP-c,SVP-c,SVP-c
SVP-n,SVP-n,SVP-n
SOC1,SOC1,SOC1
SOC1-c,SOC1-c,SOC1-c
SOC1-n,SOC1-n,SOC1-n
AGL24,AGL24,AGL24
AGL24-c,AGL24-c,AGL24-c
AGL24-n,AGL24-n,AGL24-n
LFY,LFY,LFY
LFY-c,LFY-c,LFY-c
LFY-n,LFY-n,LFY-n
FT,FT,FT
FT-c,FT-c,FT-c
FT-n,FT-n,FT-n
FD,FD,FD
FD-c,FD-c,FD-c
FD-n,FD-n,FD-n
AP1,AP1,AP1
AP1-c,AP1-c,AP1-c
AP1-n,AP1-n,AP1-n
